title,publishedAt,category,views,likes,comments,duration,tags,country
No Interruptions In The Morning,2023-10-27T17:00:26Z,27,54196,5338,42,PT44S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
How to Instantly Decrease Focus,2023-11-18T15:00:02Z,27,118740,8660,82,PT45S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
STOP over complicating deadlifts! #shorts,2022-01-18T16:23:07Z,22,1446800,85878,446,PT44S,[],GB
Becoming A Man,2023-04-23T16:00:38Z,27,362610,35307,2145,PT2M18S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
Lonely Men...,2023-04-08T17:00:09Z,27,638430,50648,1116,PT2M5S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
You Don't Even Know What Discipline Is,2023-08-01T16:00:19Z,27,409910,38274,477,PT44S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
Fatherhood Chapter,2023-12-10T17:00:16Z,27,201246,19381,1562,PT11M24S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
This Is Why You Keep Relapsing,2023-09-09T17:00:24Z,27,241770,26127,133,PT50S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
What Is The Priority of Your Relationship,2023-09-25T17:00:01Z,27,144702,12836,219,PT55S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
How To Get Girls If You're Short,2022-05-22T17:00:16Z,24,185448,16495,1805,PT4M12S,"['hamza ahmed', 'hamza', 'hamza97']",GB
How to Meditate in Plain English,2022-06-15T20:00:11Z,24,288912,25849,878,PT9M42S,"['hamza ahmed', 'hamza', 'hamza97']",GB
How Rap Music Turns Men Into Cucks,2023-09-09T14:00:17Z,27,193225,13083,843,PT36S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
QUIT SOCIAL MEDIA,2022-08-13T17:00:12Z,27,296648,26763,1127,PT3M47S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
10 Minute Guided Breathing Meditation (For Mental Health),2022-09-14T17:05:08Z,27,1377080,39131,2484,PT10M16S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
“Everyone has abs you just have the lose the fat”,2021-12-09T14:05:26Z,22,269763,27757,588,PT40S,[],GB
HOW TO STOP BEING A NICE GUY,2022-10-17T17:00:26Z,27,1464018,96683,1828,PT8M39S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
How to Easily Overcome Social Anxiety,2022-10-26T17:00:27Z,27,338885,26882,715,PT6M17S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
How To Mew Properly,2022-07-12T17:10:21Z,27,1068993,62010,1941,PT7M36S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
How To Make a Fading Relationship Last Longer #shorts #yohamza,2021-10-10T14:07:08Z,22,54969,4471,77,PT59S,[],GB
How I Tricked My Brain To Like Doing Hard Things (dopamine detox),2022-12-31T18:00:02Z,27,525150,34701,783,PT9M52S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
How To Stand Up For Yourself Without Being A Jerk,2022-11-03T18:00:13Z,27,476567,37319,863,PT8M1S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
3 EASY TRICKS To Make First Dates Less AWKWARD,2022-12-08T18:00:17Z,27,347503,21706,519,PT9M39S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
Toxic Masculinity?,2023-05-26T17:00:09Z,27,361638,36030,1996,PT4M11S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
This Is How You Level Up Your Willpower,2023-09-12T17:00:38Z,27,627167,48047,480,PT52S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
How To Find Love & BUILD SEXUAL DESIRE In A Relationship,2022-11-26T18:00:12Z,27,379343,25726,804,PT15M7S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
Reacting to Cringy Dating Advice,2022-05-17T17:00:37Z,24,402199,31397,791,PT5M5S,"['hamza ahmed', 'hamza', 'hamza97']",GB
How To Build An Aesthetic Body (No Bullsh*t Guide),2019-11-24T14:10:04Z,27,4819065,277706,4667,PT11M17S,"['aesthetics guide', 'Build an aesthetic body', 'aesthetic physique', 'How to build an aesthetic physique', 'asthetic bodybuilding', 'aesthetic workout program', 'how to build aesthetic body', 'training for aesthetics', 'aesthetic exercises', 'how to train for aesthetics', 'aesthetic body workout', 'building an aesthetic body', 'aesthetic muscle', 'build aesthetics', 'muscle aesthetics', 'build an attractive body', 'aesthetic body', 'aesthetics', 'get aesthetic', 'aesthetic workout', 'aesthetic body building']",GB
How To Become The Guy That Everyone Respects,2023-01-04T18:00:30Z,27,332901,22966,801,PT8M51S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
How To Look Confident If You’re Awkward,2023-01-03T18:00:08Z,27,402269,31523,929,PT10M15S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
How To Fix Your Sleep Schedule (PROVEN Step-By-Step Guide),2022-12-30T18:00:27Z,27,631631,37138,1721,PT11M43S,"['hamza ahmed', 'hamza', 'hamza97', 'self improvement']",GB
Depressed People AREN'T Depressed,2023-12-03T15:00:04Z,27,7515,772,17,PT34S,"['dre drexler', 'self improvement', 'how to conquer depression', 'anxiety', 'depression', 'depressed']",US
How To Actually Gain Confidence (NO BS),2022-10-02T15:00:21Z,26,406322,39130,147,PT28S,"['dre drexler', 'dre', 'drexler', 'confidence', 'confidence hacks', 'how to get confidence', 'how to actually gain confidence', 'how to gain real confidence', 'real confidence', 'how to boost confidence', 'how to boost confidence and self esteem', 'self esteem', 'hamza', 'be more attractive', 'how to be more attractive', 'how to be more confident', 'how to be more confident in yourself', 'confidence guide']",US
Why Men Are AFRAID Of Commitment...,2023-11-10T15:00:18Z,27,7800,755,29,PT44S,"['dre drexler', 'self improvement', 'commitment', 'masculine men', 'masculinity', 'embrace masculinity', 'reject culture', 'reject modernity', 'hook up culture', 'relationship advice', 'relationships', 'dating', 'dating advice', 'why men are afraid of commitment', 'how to not be afraid of commitment']",US
The Day A Man Becomes A Man...,2023-12-05T15:00:25Z,27,10073,1439,24,PT49S,"['dre drexler', 'self improvement', 'masculinity', 'masculine', 'the day a man becomes a man', 'manhood', 'red pill', 'motivation', 'mindset', 'motivational']",US
5 Signs You're In a Healthy Relationship,2022-10-04T14:00:25Z,26,172292,13845,116,PT21S,"['dre drexler', 'dre', 'drexler', 'healthy relationships', 'how to have a good relationship', 'how to have a healthy relationship', 'how to be a good boyfriend', 'relationship', 'relationships', 'relationship tips', 'tips for a good relationship', 'tips for a great relationship', ""5 Signs You're In a Healthy Relationship""]",US
3 Toxic Masculine Traits Girls CRAVE!,2022-08-29T15:48:27Z,26,8147277,393040,6690,PT39S,"['dre drexler', 'dre', 'drexler', 'andrew tate', 'toxic masculinity', 'masculinity', 'masculine', 'toxic masculine traits', 'traits women love', 'traits girls like', 'traits girls crave', 'toxic masculine traits girls crave', 'toxic masculine traits women love', 'how to get girls', 'attract girls', 'how to attract girls', 'how to look better', 'how to be more attractive', 'how to be more masculine']",US
4 Habits That Emasculate Men,2023-01-18T15:00:11Z,27,769985,59258,361,PT34S,"['dre drexler', 'masculinity', 'masculine', 'masculine men', 'habits that emasculate men', 'masculine habits', 'embrace masculinity reject weakness', 'self improvement', 'how to become more manly', 'masculine energy', 'how to be more attractive', 'hamza', 'artistic motivation']",US
3 Traits That Make Men 10x More Attractive,2022-09-10T14:00:21Z,26,2196227,155081,642,PT37S,"['dre drexler', 'dre', 'drexler', 'look attractive', 'look better', 'look more attractive', 'improve your looks', 'improve your appearance', 'self developement', 'self improvement', 'looksmaxxing', 'looksmaxing', 'how to look more attractive', 'how to be more attractive', '3 traits that make men 10x more attractive', 'tips for men to look more attractive', 'tips for men to be more attractive', 'mens lifestyle', 'mens style', 'alex costa', 'HAMZA', 'hamza unfiltered']",US
Say 'THIS' to Save Your Relationship,2022-10-03T14:00:32Z,26,269078,25110,182,PT30S,"['dre drexler', 'dre', 'drexler', 'relationships', 'relationship', 'save your relationship', 'say this to save your relationship', 'healthy relationships', 'relationship advice', 'girlfriend advice', 'how to be a better boyfriend', 'love advice', 'dating advice', 'how to win an argument']",US
3 Habits That Make Men More MASCULINE 💪,2022-10-07T14:00:08Z,26,605833,59171,216,PT33S,"['dre drexler', 'masculinity', 'masculine', 'toxic masculinity', 'habits that make men more masculine', 'how to be more masculine', 'how to be more manly', 'embrace masculinity', 'reject culture', 'reject modernity', 'how to be more attractive']",US
6 Habits Making Men Weak & Unattractive,2022-09-07T14:00:25Z,26,2474098,156889,2151,PT39S,"['dre drexler', 'habits making men weak', 'bad habits', 'bad habits making men weak', 'bad habits making men soft', 'bad habits making men unattractive', 'habits making men ugly', 'habits making men unattractive', 'habits that are bad for you', 'bad habits that can ruin your life', 'unattractive', 'negative habits', 'self development', 'andrew tate']",US
You're NOT Depressed You Are LAZY & WEAK!!,2023-10-29T14:00:28Z,27,12914,1358,49,PT37S,"['dre drexler', 'self improvement', 'depression', 'depressed', 'how to overcome depression', 'embrace masculinity', 'masculine', 'mindset', 'success', 'andrew tate', 'hamza', 'stop being lazy', 'farfromweak', 'motivation', 'success motivation', 'morning routine']",US
3 Things Masculine Men Need To AVOID!,2023-10-21T14:00:37Z,27,28274,3420,83,PT54S,"['dre drexler', 'self improvement', 'masculinity', 'embrace masculinity', 'things masculine men need to avoid', 'reject culture', 'dating', 'relationships', 'dating advice', 'relationship advice', 'red pill', 'avoid bad women', 'avoid bad relationships', 'hook up culture', 'farfromweak']",US
